Gender,Age,City,Category,Price_Category,Place_Name_x
0,2,4,1,2,Candi Ratu Boko
1,7,4,1,2,Candi Ratu Boko
0,9,4,1,2,Candi Ratu Boko
0,6,4,1,2,Candi Ratu Boko
0,12,4,1,2,Candi Ratu Boko
1,1,4,1,2,Candi Ratu Boko
0,17,4,1,2,Candi Ratu Boko
0,20,4,1,2,Candi Ratu Boko
0,20,4,1,2,Candi Ratu Boko
1,9,4,1,2,Candi Ratu Boko
0,11,4,1,2,Candi Ratu Boko
0,18,4,1,2,Candi Ratu Boko
0,19,4,1,2,Candi Ratu Boko
0,19,4,1,2,Candi Ratu Boko
1,19,4,1,2,Candi Ratu Boko
0,3,4,1,2,Candi Ratu Boko
1,7,4,1,2,Candi Ratu Boko
1,2,4,1,2,Candi Ratu Boko
1,9,4,1,2,Candi Ratu Boko
0,21,4,1,2,Candi Ratu Boko
1,14,4,1,2,Candi Ratu Boko
0,7,4,1,2,Candi Ratu Boko
1,19,4,1,2,Candi Ratu Boko
1,12,4,1,2,Candi Ratu Boko
0,2,2,0,1,Pantai Marina
1,21,2,0,1,Pantai Marina
1,8,2,0,1,Pantai Marina
1,8,2,0,1,Pantai Marina
1,12,2,0,1,Pantai Marina
1,18,2,0,1,Pantai Marina
0,20,2,0,1,Pantai Marina
0,16,2,0,1,Pantai Marina
1,6,2,0,1,Pantai Marina
1,3,2,0,1,Pantai Marina
1,11,2,0,1,Pantai Marina
0,0,2,0,1,Pantai Marina
0,12,2,0,1,Pantai Marina
0,1,2,0,1,Pantai Marina
1,1,2,0,1,Pantai Marina
0,19,2,0,1,Pantai Marina
0,10,2,0,1,Pantai Marina
0,16,2,0,1,Pantai Marina
1,0,2,0,1,Pantai Marina
1,21,2,0,1,Pantai Marina
1,5,2,0,1,Pantai Marina
1,8,2,0,1,Pantai Marina
1,11,2,0,1,Pantai Marina
0,7,2,0,1,Pantai Marina
1,14,2,0,1,Pantai Marina
1,11,2,0,1,Pantai Marina
0,0,2,0,1,Pantai Marina
1,20,2,0,1,Pantai Marina
1,20,2,0,1,Pantai Marina
1,20,2,0,1,Pantai Marina
0,14,2,0,1,Pantai Marina
1,22,2,0,1,Pantai Marina
1,12,2,0,1,Pantai Marina
0,2,1,4,2,Atlantis Water Adventure
0,3,1,4,2,Atlantis Water Adventure
0,2,1,4,2,Atlantis Water Adventure
0,19,1,4,2,Atlantis Water Adventure
1,6,1,4,2,Atlantis Water Adventure
0,10,1,4,2,Atlantis Water Adventure
0,12,1,4,2,Atlantis Water Adventure
0,12,1,4,2,Atlantis Water Adventure
0,12,1,4,2,Atlantis Water Adventure
1,21,1,4,2,Atlantis Water Adventure
0,12,1,4,2,Atlantis Water Adventure
1,14,1,4,2,Atlantis Water Adventure
1,0,1,4,2,Atlantis Water Adventure
1,5,1,4,2,Atlantis Water Adventure
1,14,1,4,2,Atlantis Water Adventure
0,20,1,4,2,Atlantis Water Adventure
1,15,1,4,2,Atlantis Water Adventure
0,9,1,4,2,Atlantis Water Adventure
0,19,1,4,2,Atlantis Water Adventure
